total count,percent of total,activties count,percent of activities,tokens,n_gram
99,0.000217,99,0.001926,perfumeのインスタグラムが斬新すぎるｗ,1grams
99,0.000217,99,0.001926,siento,1grams
99,0.000217,99,0.001926,@perfume_pta,1grams
98,0.000215,77,0.001498,jennifer,1grams
98,0.000215,97,0.001887,quedo,1grams
97,0.000212,97,0.001887,agri,1grams
97,0.000212,96,0.001868,cheirinho,1grams
97,0.000212,96,0.001868,sempre,1grams
97,0.000212,97,0.001887,#iHeartAwards,1grams
97,0.000212,97,0.001887,conserves,1grams
97,0.000212,97,0.001887,@Etsy,1grams
97,0.000212,97,0.001887,maharashtra,1grams
96,0.000210,93,0.001809,roupa,1grams
96,0.000210,95,0.001848,before,1grams
96,0.000210,95,0.001848,después,1grams
96,0.000210,96,0.001868,@ImRahulHussain,1grams
96,0.000210,95,0.001848,warm,1grams
95,0.000208,93,0.001809,much,1grams
95,0.000208,95,0.001848,perfume_um,1grams
95,0.000208,94,0.001829,natural,1grams
95,0.000208,95,0.001848,below,1grams
95,0.000208,95,0.001848,exalando,1grams
95,0.000208,93,0.001809,notes,1grams
94,0.000206,94,0.001829,@serubora,1grams
94,0.000206,93,0.001809,100ml,1grams
94,0.000206,94,0.001829,color,1grams
